"Control Deficiency Risk Crosswalk
(possible risks associated with a control deficiency)",,,,,,,,,Inability to maintain individual accountability,Improper assignment of privileged functions ,Privilege escalation,Unauthorized access,"Lost, damaged or stolen asset(s)",Loss of integrity through unauthorized changes,Business interruption,Data loss / corruption,Reduction in productivity,Information loss / compromise due to technical attack,Information loss /compromise due to non‐technical attack ,Loss of revenue,Cancelled contract,Diminished competitive advantage,Diminished reputation ,Fines and judgements ,Unmitigated vulnerabilities,System compromise ,Inability to support business processes,Incorrect controls scoping,Inadequate internal practices ,Inadequate third-party practices ,Lack of oversight of internal controls ,Lack of oversight of third-party controls ,Lack of roles & responsibilities ,Illegal content or abusive action ,Inability to investigate / prosecute incidents,Improper response to incidents,Ineffective remediation actions,Expense associated with managing a loss event,Inability to maintain situational awareness,Lack of a security-minded workforce,
Data Classification & Handling ,DCH-03(a),Disclosure of Information,DCH-03.1,Mechanisms exist to limit the disclosure of data to authorized parties. ,10,Technical,Basic,Protect,x,,,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,x,x,x,
Data Classification & Handling ,DCH-03(b),Masking Displayed Data ,DCH-03.2,Mechanisms exist to apply data masking to sensitive information that is displayed or printed. ,7,Technical,Basic,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-04,Media Marking ,DCH-04,"Mechanisms exist to mark media in accordance with data protection requirements so that personnel are alerted to distribution limitations, handling caveats and applicable security requirements. ",7,All Users,Basic,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-04(a),Automated Marking,DCH-04.1,"Automated mechanisms exist to mark media and system output to indicate the distribution limitations, handling requirements and applicable security markings (if any) of the information to aide Data Loss Prevention (DLP) technologies. ",2,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05,Security & Privacy Attributes,DCH-05,"Mechanisms exist to bind security attributes to information as it is stored, transmitted and processed.",2,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(a),Dynamic Attribute Association,DCH-05.1,"Mechanisms exist to dynamically associate security and privacy attributes with individuals and objects as information is created, combined, or transformed, in accordance with organization-defined cybersecurity and privacy policies.",2,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(b),Attribute Value Changes By Authorized Individuals,DCH-05.2,Mechanisms exist to provide authorized individuals (or processes acting on behalf of individuals) the capability to define or change the value of associated security and privacy attributes.,8,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(c),Maintenance of Attribute Associations By System,DCH-05.3,Mechanisms exist to maintain the association and integrity of security and privacy attributes to individuals and objects.,2,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(d),Association of Attributes By Authorized Individuals,DCH-05.4,Mechanisms exist to provide the capability to associate security and privacy attributes with individuals and objects by authorized individuals (or processes acting on behalf of individuals).,2,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(e),Attribute Displays for Output Devices,DCH-05.5,"Mechanisms exist to display security and privacy attributes in human-readable form on each object that the system transmits to output devices to identify special dissemination, handling or distribution instructions using human-readable, standard naming conventions.",8,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(f),Data Subject Attribute Associations,DCH-05.6,Mechanisms exist to require personnel to associate and maintain the association of security and privacy attributes with individuals and objects in accordance with security and privacy policies.,2,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(g),Consistent Attribute Interpretation,DCH-05.7,Mechanisms exist to provide a consistent interpretation of security and privacy attributes transmitted between distributed system components.,2,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(h),Identity Association Techniques & Technologies,DCH-05.8,Mechanisms exist to associate security and privacy attributes to information.,2,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(i),Attribute Reassignment,DCH-05.9,"Mechanisms exist to re-classify data as required, due to changing business/technical requirements.",7,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(j),Attribute Configuration By Authorized Individuals,DCH-05.10,Mechanisms exist to provide authorized individuals the capability to define or change the type and value of security and privacy attributes available for association with subjects and objects.,8,Technical,Enhanced,Protect,,,,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-05(k),Audit Changes,DCH-05.11,Mechanisms exist to audit changes to security and privacy attributes and respond to them in a timely manner.,7,Technical,Enhanced,Detect,,,,x,,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,,x,,x,,
Data Classification & Handling ,DCH-06,Media Storage,DCH-06,"Mechanisms exist to: 
 ▪ Physically control and securely store digital and non-digital media within controlled areas using organization-defined security measures; and
 ▪ Protect system media until the media are destroyed or sanitized using approved equipment, techniques and procedures.",8,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-06(a),Physically Secure All Media,DCH-06.1,Mechanisms exist to physically secure all media that contains sensitive information.,9,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-06(b),Sensitive Data Inventories,DCH-06.2,Mechanisms exist to maintain inventory logs of all sensitive media and conduct sensitive media inventories at least annually. ,9,Technical,Basic,Detect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-06(c),Periodic Scans for Sensitive Data,DCH-06.3,"Mechanisms exist to periodically scan unstructured data sources for sensitive data or data requiring special protection measures by statutory, regulatory or contractual obligations. ",7,Technical,Enhanced,Detect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-06(d),Making Sensitive Data Unreadable In Storage,DCH-06.4,Mechanisms exist to ensure sensitive data is rendered human unreadable anywhere sensitive data is stored. ,10,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-06(e),Storing Authentication Data,DCH-06.5,Mechanisms exist to prohibit the storage of sensitive authentication data after authorization. ,5,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-07,Media Transportation ,DCH-07,Mechanisms exist to protect and control digital and non-digital media during transport outside of controlled areas using appropriate security measures.,10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,
Data Classification & Handling ,DCH-07(a),Custodians,DCH-07.1,Mechanisms exist to identify custodians throughout the transport of system media. ,9,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,x,
Data Classification & Handling ,DCH-07(b),Encrypting Data In Storage Media,DCH-07.2,Cryptographic mechanisms exist to protect the confidentiality and integrity of information stored on digital media during transport outside of controlled areas.,5,All Users,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-08,Physical Media Disposal,DCH-08,"Mechanisms exist to securely dispose of media when it is no longer required, using formal procedures. ",10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-09,Digital Media Sanitization,DCH-09,"Mechanisms exist to sanitize media, both digital and non-digital, with the strength and integrity commensurate with the classification or sensitivity of the information prior to disposal, release out of organizational control or release for reuse.",10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-09(a),Media Sanitization Documentation,DCH-09.1,"Mechanisms exist to track, document and verify media sanitization and disposal actions. ",7,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-09(b),Equipment Testing,DCH-09.2,Mechanisms exist to test sanitization equipment and procedures to verify that the intended result is achieved. ,5,Technical,Enhanced,Detect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-09(c),Destruction of Personal Data (PD),DCH-09.3,Mechanisms exist to facilitate the destruction of Personal Data (PD).,10,Management,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-09(d),Non-Destructive Techniques,DCH-09.4,Mechanisms exist to apply nondestructive sanitization techniques to portable storage devices prior to first use.,5,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-09(e),Dual Authorization,DCH-09.5,"Mechanisms exist to enforce dual authorization for the destruction, disposal or sanitization of digital media that contains sensitive data.",5,Management,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-10,Media Use,DCH-10,Mechanisms exist to restrict the use of types of digital media on systems or system components. ,10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-10(a),Limitations on Use ,DCH-10.1,Mechanisms exist to restrict the use and distribution of sensitive data. ,10,Technical,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-10(b),Prohibit Use Without Owner,DCH-10.2,Mechanisms exist to prohibit the use of portable storage devices in organizational information systems when such devices have no identifiable owner.,5,Technical,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-11,Media Downgrading ,DCH-11,Mechanisms exist to downgrade system media commensurate with the security category and/or classification level of the information.,8,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-12,Removable Media Security,DCH-12,Mechanisms exist to restrict removable media in accordance with data handling and acceptable usage parameters.,10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-13,Use of External Information Systems ,DCH-13,"Mechanisms exist to govern how external parties, systems and services are used to securely store, process and transmit data. ",10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-13(a),Limits of Authorized Use ,DCH-13.1,"Mechanisms exist to prohibit external parties, systems and services from storing, processing and transmitting data unless authorized individuals first: 
 ▪ Verifying the implementation of required security controls; or
 ▪ Retaining a processing agreement with the entity hosting the external systems or service.",8,Technical,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-13(b),Portable Storage Devices,DCH-13.2,Mechanisms exist to restrict or prohibit the use of portable storage devices by users on external systems. ,10,Technical,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-13(c),Protecting Sensitive Data on External Systems,DCH-13.3,"Mechanisms exist to ensure that the requirements for the protection of sensitive information processed, stored or transmitted on external systems, are implemented in accordance with applicable statutory, regulatory and contractual obligations.",10,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-13(d),Non-Organizationally Owned Systems / Components / Devices,DCH-13.4,"Mechanisms exist to restrict the use of non-organizationally owned information systems, system components or devices to process, store or transmit organizational information.",5,Management,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-14,Information Sharing ,DCH-14,Mechanisms exist to utilize a process to assist users in making information sharing decisions to ensure data is appropriately protected.,10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-14(a),Information Search & Retrieval,DCH-14.1,Mechanisms exist to ensure information systems implement data search and retrieval functions that properly enforce data protection / sharing restrictions.,5,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-15,Publicly Accessible Content,DCH-15,Mechanisms exist to control publicly-accessible content.,10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-16,Data Mining Protection,DCH-16,Mechanisms exist to protect data storage objects against unauthorized data mining and data harvesting techniques. ,7,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-17,Ad-Hoc Transfers ,DCH-17,Mechanisms exist to secure ad-hoc exchanges of large digital files with internal or external parties.,10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-18,Media & Data Retention ,DCH-18,"Mechanisms exist to retain media and data in accordance with applicable statutory, regulatory and contractual obligations. ",10,All Users,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-18(a),"Limit Personal Data (PD) Elements In Testing, Training & Research",DCH-18.1,Mechanisms exist to limit Personal Data (PD) being processed in the information lifecycle to elements identified in the Data Protection Impact Assessment (DPIA).,10,Management,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-18(b),Minimize Personal Data (PD),DCH-18.2,"Mechanisms exist to minimize the use of Personal Data (PD) for research, testing, or training, in accordance with the Data Protection Impact Assessment (DPIA).",8,Management,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-18(c),Temporary Files Containing Personal Data ,DCH-18.3,Mechanisms exist to perform periodic checks of temporary files for the existence of Personal Data (PD).,5,Management,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-19,Geographic Location of Data,DCH-19,"Mechanisms exist to inventory, document and maintain data flows for data that is resident (permanently or temporarily) within a service's geographically distributed applications (physical and virtual), infrastructure, systems components and/or shared with other third-parties.",10,All Users,Basic,Identify,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-20,Archived Data Sets ,DCH-20,"Mechanisms exist to protect archived data in accordance with applicable statutory, regulatory and contractual obligations. ",8,Technical,Enhanced,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-21,Information Disposal,DCH-21,"Mechanisms exist to securely dispose of, destroy or erase information.",10,Management,Basic,Protect,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-22,Data Quality Operations,DCH-22,"Mechanisms exist to check for the accuracy, relevance, timeliness, impact, completeness and de-identification of information across the information lifecycle.",5,All Users,Basic,Protect,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,,x,x,x,,
Data Classification & Handling ,DCH-22(a),Updating & Correcting Personal Data (PD),DCH-22.1,"Mechanisms exist to utilize technical controls to correct Personal Data (PD) that is inaccurate or outdated, incorrectly determined regarding impact, or incorrectly de-identified.",6,Management,Basic,Protect,,,,,,,,,x,,,,,x,x,x,,,x,x,x,x,x,x,,,,,,,,,
Data Classification & Handling ,DCH-22(b),Data Tags,DCH-22.2,Mechanisms exist to utilize data tags to automate tracking of sensitive data across the information lifecycle.,3,Technical,Enhanced,Protect,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,x,x,x,x,x,,
Data Classification & Handling ,DCH-22(c),Personal Data (PD) Collection,DCH-22.3,Mechanisms exist to collect Personal Data (PD) directly from the individual. ,8,Technical,Enhanced,Identify,,,,,,,,,x,,,,,x,x,x,,,x,x,x,x,x,x,,,,,,,,,
Data Classification & Handling ,DCH-23,De-Identification (Anonymization),DCH-23,Mechanisms exist to remove Personal Data (PD) from datasets.,8,Technical,Enhanced,Protect,,,,,,,,x,x,,,,,x,x,x,,,x,x,x,x,x,x,,,,,,,,,
Data Classification & Handling ,DCH-23(a),Collection,DCH-23.1,Mechanisms exist to de-identify the dataset upon collection by not collecting Personal Data (PD).,8,Technical,Enhanced,Protect,,,,,,,,x,x,,,,,x,x,x,,,x,x,x,x,x,x,,,,,,,,,
Data Classification & Handling ,DCH-23(b),Archiving,DCH-23.2,Mechanisms exist to refrain from archiving Personal Data (PD) elements if those elements in a dataset will not be needed after the dataset is archived.,8,Technical,Enhanced,Protect,,,,,,,,x,x,,,,,x,x,x,,,x,x,x,x,x,x,,,,,,,,,
Data Classification & Handling ,DCH-23(c),Release,DCH-23.3,Mechanisms exist to remove Personal Data (PD) elements from a dataset prior to its release if those elements in the dataset do not need to be part of the data release.,8,Technical,Enhanced,Protect,,,,,,,,x,x,,,x,x,x,x,x,,,x,x,x,x,x,x,,,,,,,,,
Data Classification & Handling ,DCH-23(d),"Removal, Masking, Encryption, Hashing or Replacement of Direct Identifiers",DCH-23.4,"Mechanisms exist to remove, mask, encrypt, hash or replace direct identifiers in a dataset.",8,Technical,Enhanced,Protect,,,,x,,,,x,x,,,,,x,x,x,,,x,x,x,x,x,x,,,,,,,,,
Data Classification & Handling ,DCH-23(e),Statistical Disclosure Control,DCH-23.5,"Mechanisms exist to manipulate numerical data, contingency tables and statistical findings so that no person or organization is identifiable in the results of the analysis.",1,Technical,Enhanced,Protect,,,,,,,,,,,,,,x,x,x,,,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-23(f),Differential Privacy,DCH-23.6,Mechanisms exist to prevent disclosure of Personal Data (PD) by adding non-deterministic noise to the results of mathematical operations before the results are reported.,1,Technical,Enhanced,Protect,,,,,,,,,,,,,,x,x,x,,,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-23(g),Validated Software,DCH-23.7,Mechanisms exist to perform de-identification using validated algorithms and software to implement the algorithms.,1,Technical,Enhanced,Protect,,,,,,,,,,,,,,x,x,x,,,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-23(h),Motivated Intruder,DCH-23.8,Mechanisms exist to perform a motivated intruder test on the de-identified dataset to determine if the identified data remains or if the de-identified data can be re-identified.,3,Technical,Enhanced,Protect,,,,,,,,,,,,,,x,x,x,,,x,x,x,x,,,,,,,,,,,
Data Classification & Handling ,DCH-24,Information Location,DCH-24,Mechanisms exist to identify and document the location of information and the specific system components on which the information resides.,10,Technical,Enhanced,Identify,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,,x,x,,
Data Classification & Handling ,DCH-24(a),Automated Tools to Support Information Location,DCH-24.1,Automated mechanisms exist to identify by data classification type to ensure adequate security and privacy controls are in place to protect organizational information and individual privacy.,6,Technical,Enhanced,Identify,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,,x,x,,
Data Classification & Handling ,DCH-25,Transfer of Personal Information,DCH-25,Mechanisms exist to restrict and govern the transfer of data to third-countries or international organizations.,10,Management,Basic,Protect,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,,,x,x,,
Embedded Technology ,EMB-01,Embedded Technology Security Program ,EMB-01,Mechanisms exist to facilitate the implementation of embedded technology controls. ,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Embedded Technology ,EMB-02,Internet of Things (IOT) ,EMB-02,Mechanisms exist to proactively manage the cybersecurity and privacy risks associated with Internet of Things (IoT).,10,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Embedded Technology ,EMB-03,Operational Technology (OT) ,EMB-03,Mechanisms exist to proactively manage the cybersecurity and privacy risks associated with Operational Technology (OT).,10,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-01,Endpoint Security ,END-01,Mechanisms exist to facilitate the implementation of endpoint security controls.,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Endpoint Security,END-02,Endpoint Protection Measures ,END-02,"Mechanisms exist to protect the confidentiality, integrity, availability and safety of endpoint devices.",10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Endpoint Security,END-03,Prohibit Installation Without Privileged Status ,END-03,Mechanisms exist to prohibit user installation of software without explicitly assigned privileged status. ,10,All Users,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Endpoint Security,END-03(a),Unauthorized Installation Alerts,END-03.1,Mechanisms exist to alert personnel when an unauthorized installation of software is detected. ,8,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Endpoint Security,END-03(b),Access Restriction for Change,END-03.2,"Mechanisms exist to define, document, approve and enforce access restrictions associated with changes to systems.",8,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Endpoint Security,END-04,Malicious Code Protection (Anti-Malware) ,END-04,Mechanisms exist to utilize antimalware technologies to detect and eradicate malicious code.,10,All Users,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Endpoint Security,END-04(a),Automatic Updates,END-04.1,"Mechanisms exist to automatically update antimalware technologies, including signature definitions. ",10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,
Endpoint Security,END-04(b),Documented Protection Measures,END-04.2,Mechanisms exist to document antimalware technologies.,3,Technical,Enhanced,Identify,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,
Endpoint Security,END-04(c),Centralized Management,END-04.3,Mechanisms exist to centrally-manage antimalware technologies.,8,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-04(d),Heuristic / Nonsignature-Based Detection,END-04.4,Mechanisms exist to utilize heuristic / nonsignature-based antimalware detection capabilities.,8,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-04(e),Malware Protection Mechanism Testing,END-04.5,"Mechanisms exist to test antimalware technologies by introducing a known benign, non-spreading test case into the system and subsequently verifying that both detection of the test case and associated incident reporting occurs. ",5,Technical,Enhanced,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-04(f),Evolving Malware Threats,END-04.6,Mechanisms exist to perform periodic evaluations evolving malware threats to assess systems that are generally not considered to be commonly affected by malicious software. ,3,Technical,Enhanced,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-04(g),Always On Protection,END-04.7,"Mechanisms exist to ensure that anti-malware technologies are continuously running in real-time and cannot be disabled or altered by non-privileged users, unless specifically authorized by management on a case-by-case basis for a limited time period. ",10,Technical,Basic,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-05,Software Firewall ,END-05,Mechanisms exist to utilize a host-based firewall software on all laptop computers and other portable workstations capable of implementing a host-based firewall.,10,Technical,Basic,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-06,File Integrity Monitoring (FIM) ,END-06,Mechanisms exist to utilize File Integrity Monitor (FIM) technology to detect and report unauthorized changes to system files and configurations.,8,Technical,Enhanced,Protect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-06(a),Integrity Checks ,END-06.1,Mechanisms exist to validate configurations through integrity checking of software and firmware.,6,Technical,Enhanced,Detect,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Endpoint Security,END-06(b),Integration of Detection & Response ,END-06.2,Mechanisms exist to detect and respond to unauthorized configuration changes as cybersecurity incidents.,9,Technical,Enhanced,Respond,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
